Time,Condition,iM2,iM1,iAI,iPrL,iMO,iVO,iDP,cM2,cM1,cAI,cPrL,cMO,cVO,cDP,iCg,iM,iS1,iAI-b,iCl,iDEn,iPir,iAcb,iot,iCPu,iLS,iMS,cCg,cM,cS1,cAI-b,cCl,cDEn,cPir,cAcb,cot,cCPu,cLS,cMS,iRSC,iS1-b,iS2,iIns,iAIP,iEn,iHipp,iMDThal,iLDThal,iVLThal,iVMThal,iTC,iCA,iBLA,iBMA,cRSC,cS1-b,cS2,cIns,cAIP,cEn,cHipp,cMDThal,cLDThal,cVLThal,cVMThal,cTC,cCA,cBLA,cBMA,iRSC-b,iV,iAu,iTeA,iEct,iPRh,iLEnt,iBLP,iPMCo,iSC,iCauThal,iSN,iMamm,iDpMe,iVTA,iPAG,cRSC-b,cV,cAu,cTeA,cEct,cPRh,cLEnt,cBLP,cPMCo,cSC,cCauThal,cSN,cMamm,cDpMe,cVTA,cPAG,iSuM,cSuM,iV-b,iEnt,iPS,iRSA,iSuC,iIC,iPnO,cV-b,cEnt,cPS,cRSA,cSuC,cIC,cPnO
1 MPI,NTG,4,0,0.5,0.5,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
1 MPI,NTG,16.5,0.5,1.5,1,0,0.5,0.5,1,0,4.5,0.5,0.5,0,1,1,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1.5,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,3.5,2,0,0,3.5,0,0,1,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0.5,0,0,0,0,0,0,0,0
1 MPI,NTG,10,0,1,2,0,0,0,0.5,0,0.5,0,0,0,0.5,0,3,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,2,3.5,1.5,0,0,2,0,0,2,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.5,0,0,0,0.5,0
1 MPI,NTG,3,0.5,2,0,0,0,0.5,2,0,0,0,0,0,0,0,2,0.5,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,2.5,0,0.5,0,3,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.5,2,5,2,0,1,4.5,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 MPI,G20,2.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,1.5,0,0,0,0.5,2,0,0,0,0,0,0,0,0.5,0,0.5,1,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 MPI,G20,22,3,3,0.5,0,0,0,8.5,2,1.5,0.5,0,0,0.5,0.5,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1.5,0,0,4,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
1 MPI,G20,2,0,0.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,1,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,1,0.5,0.5
1 MPI,G20,6,1,1.5,1,0,0,0,1.5,0,1,0,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 MPI,G20,2,0.5,0.5,0,0,0,0,1.5,0,0.5,0,0,0,0,0.5,1,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,0,0,0,0,0,0,0.5,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
1 MPI,G20,5,0,0,0,0,0,0,4,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
