,Cg (ACAd + ACAv),Acb (ACB),"TC (AHN, LHA, TU, VMH)",AI (AId),"AI-b (GU, Ald, Alv)",AIP (AIP),"MDThal (MH, LH, PVT, IMD, MD, Amd, CM)","DpMe (APN, MRN, NPC)","Au (AUDd, AUDp, AUDv)",BLP (BLA),"BLA (BLA, LA)","BMA (BMA, COAa, COAp, MEA, PAA)","CA (CEA, IA)",Cl (CLA),PMCo (COAp),CPu (CP),"PnO (CS, PRNr, TRN)","Hipp (CA1, CA2, CA3, DG)",Ect (ECT),LEnt (ENTl),"Ent (ENTl, ENTm)",DEn (EPd),"En (EPd, EPv)","IC (CUN, ICe, MRN)",LDThal (LD),"CauThal (LGd, LGv, LP, MGd, MGm, MGv, PO, SPFp)","LS (LSc, LSr, LPO)",Mamm (MM),M1 (Mop),M2 (Mos),M (MOp + MOs),"SC (MPT, NOT)",MS (MS),DP (ORBl),MO (ORBm),VO (ORBvl),PAG (PAG),"PS (PAR, POST, PRE)",PRh (PERI),Pir (PIR),PrL (PL),"VLThal (RE, RH, SMT)","RSC (RSPd, RSPv)","RSC-b (RSPagl, RSPd, RSPv)","RSA (RSPd, RSPv)","VMThal (RT, VAL, VM, VPL, VPM)","SuC (SCm, SCs)",ot (SI),"SN (SNc, SNr)",S2 (SSs),"S1 (SSp-m, SSp-n, SSp-ul, SSs)","S1-b (SSp-II, SSp-tr, SSp-bfd)",SuM (SUM),TeA (TEa),Ins (VISC),"V (VISal, VISam, VISp)","V-b (VISp, VISpl, VISpm)",VTA (VTA)
Cg (ACAd + ACAv),0.606396371,0.00913552,0.002279021,0.027469733,0.019302713,0.014381304,0.003626844,0.001984038,0.001079004,0.000149697,0.000398204,4.43589E-05,0,0.063569853,0,0.426656996,0.027307478,0.000137625,0.01399696,0.030776072,0.015832503,0.005540864,0.002770432,0.001626669,0.002256389,7.13436E-05,0.002839437,0.002153673,0,0.232920521,0.11646026,0.000896143,0.000465943,0.047697484,0.032377575,0.075940502,0.106485249,0.001546546,0.017260779,0.010621275,0.110430765,0.020847081,0.099847862,0.069522102,0.099847862,0.001560321,0.011269783,0,0.000384521,0.00204228,0.00060581,0.003758396,0.007005743,0.004826841,0.005924506,0.014043015,0.005292073,0.008901907
Acb (ACB),0,0.003086047,0,0.000406839,0.000705754,0.000639729,0.000193313,0,0.000138615,0,8.05905E-05,0.0002943,0,0,0,0,0,0,0,0,0,0.005887764,0.003320935,0.000386233,0,1.15329E-05,0,0,0,0,0,0,0,0,0.001514087,2.0163E-05,0,0,0,0.02596831,0,0.001012637,0,0,0,2.71295E-05,0.000487826,0,0.000275105,0.001555504,0.00041705,0.000232068,0,4.34706E-05,0.000278225,0,1.62717E-05,0.001795182
"TC (AHN, LHA, TU, VMH)",0,0,0.076012241,0,0,0,0.007912739,0.038351608,0,0.01822359,0.018861439,0.017804779,0.02434112,0,0.015771648,0,0.006666672,0,0,0,0,0,0.001235092,0.040089603,0.001706429,0.003728946,0.036275028,0.002626944,0,0,0,0.004094474,0.028453505,0,0,0,0.332751132,0,0,0,0,0.023391839,0,0,0,0.002425493,0.11531073,0.058896026,0.001124887,0.000699749,0.000363983,0.000245449,0.007858629,0.000278448,0,0,0,0.014373452
AI (AId),0.011511667,0.166888128,0,0.946155474,0.430616628,0.081325313,0.00503636,0.000623354,0,0.040021823,0.020733567,0.000147373,0.014230873,0.128302233,0,1.771004351,0,0,0.008942621,0,0,0,0.001245914,0,0,0.002568412,0.009533253,0,0.416081718,0.218006034,0.317043876,3.62863E-05,0,0.000463839,0.057212176,0.056705428,0,0,0.009386009,0,0.097798615,0,0,0,0,0,0,0.008734526,0.000644372,0.017643505,0.011328874,0,0,0,0.066155633,0,0,0
"AI-b (GU, Ald, Alv)",0.039660864,0.163496314,0.001059093,0.356866796,0.250706559,0.027108438,0.022646639,0.002740682,0.005046896,0.013340608,0.007955126,0.000185556,0.004743624,0.043238526,0,0.813333614,0.000878359,0.000651276,0.020132473,0.008821635,0.004574679,0.014168761,0.007499685,0.002756208,0,0.000942087,0.004436236,4.40574E-05,0.23825275,0.258230167,0.248241458,3.50566E-05,0.001575834,0.257298613,0.107843028,0.20692043,0.102081199,0.000488492,0.00312867,0.065990628,0.123696805,0.014262404,0.000594789,0.000438655,0.000594789,0.006097926,0.001983263,0.019797977,0.00059652,0.005881168,0.024989052,0.000785032,0.001308872,0.036506768,0.022051878,0,4.45074E-05,0.001548775
AIP (AIP),0.001602627,0.177784612,0.00499579,0.167489945,0.085401492,0.028266977,0.020533602,0.003305208,0.004305727,0.071266807,0.03980966,0.001438774,0.100754965,0.002504076,0.001441749,0,0.000324947,0,0,0.064461695,0.032230847,0.034289016,0.025127803,0.00333228,0,0.001166328,0,0,0,0,0,2.75549E-06,0,0,0,0,0.079312929,2.94458E-05,0.02851683,0.030741591,0.001661203,0.020465739,0,0,0,0.00485771,0,0.037910779,0.001474258,0,0,0,0.001663074,0,0,0,0,0.008580341
"MDThal (MH, LH, PVT, IMD, MD, Amd, CM)",0.018834743,0.485044995,0.050110956,0.097836727,0.070927469,0.054211849,0.030251517,0.028116795,0.001241907,0.051375587,0.030121711,0.010655087,0.034037879,0.049753896,0.004751196,0.439021195,0.197342789,0,0.014588196,0.055129942,0.035710156,0.025928375,0.015263701,0.025410322,0,0.000431341,0.011774301,0.012148434,0,0.002812283,0.001406142,0.001062954,0,0.015336948,0.052704424,0.007266115,0.438185976,0.003296209,0.007217961,0.014257951,0.050198098,0.052599492,0.006854323,0.005312722,0.006854323,0.027565,0.024773902,0.100800308,0.003874819,0.007668049,0.002004279,0.00168562,0.039488938,0.004632652,0.013371579,0.002428529,0.001993207,0.134788874
"DpMe (APN, MRN, NPC)",0,0,0.000942072,0,0,0,0.004546783,0.074429152,5.63053E-05,0,0,0,0,0,0,0,0.006105006,0,0,0,0,0,0,0.047184028,0,0.004202113,0.000155815,0,0,0,0,0.007228381,0,0,0,0,0.059496342,0,0,0,0,0.004719895,0,0,0,0.006956214,0.059540673,0,0.000453415,0.000889819,0.000287887,0.000160994,5.61488E-05,0,2.6011E-05,0,0,0.00509696
"Au (AUDd, AUDp, AUDv)",0.000746356,0.034612244,0.000549127,0.009237747,0.009704462,0.024997542,0.001761592,0.002330368,0.266098204,0.005782465,0.0061386,0.000492788,0.001464571,0.012467414,0.000709909,0.208709868,0.00152155,0.010719703,0.053436503,0.043327671,0.021735514,0.00987528,0.005143238,0.004540564,1.80004E-05,0.000160523,0.000259061,1.1234E-05,0.01552229,0.022021516,0.018771903,0.000215455,0,0.007941485,0.00310305,0.007469645,0.038476393,2.76325E-05,0.037772746,0.023808419,0.004284117,0.005697089,0,0.000264675,0,0.000294176,0.011385002,0.010116054,0.000146599,0.004939486,0.002765135,0.057591721,1.00451E-05,0.13510341,0.026271013,0.030328499,0.009967196,0.000623639
BLP (BLA),0.029137849,0.575333181,0.001461777,0.071484712,0.060952054,0.06945206,0,0,0.011046229,0.156631361,0.089659484,0.001562859,0.030326735,0.085736315,0,2.054216654,0,0.000240166,0.064111838,0.030638723,0.016187431,0.110993374,0.062430877,0,0,0,0.00410876,0,0.016260585,0.065950188,0.041105387,0,0.002542278,0.022101639,0.029381832,0.0213427,0.000123966,0.000876459,0.021027628,0.089579072,0.056005098,0,0.000523259,0.000517068,0.000523259,0,0.000167163,0.231554807,0.000219132,0.007343604,0.003395008,0.000404141,0,0.076254761,0.014287838,0.001961946,0.001041355,0
