,Cg (ACAd + ACAv),Acb (ACB),"TC (AHN, LHA, TU, VMH)",AI (AId),"AI-b (Alv, Ald, GU)",AIP (AIP),"MDThal (MH, LH, PVT, IMD, MD, Amd, CM)","DpMe (APN, MRN, NPC)","Au (Aud, Aup, Auv)",BLP (BLA),"BLA (BLA, LA)","BMA (BMA, COAa, COAp, MEA, PAA)","CA (CEA, IA)",Cl (CLA),PMCo (COAp),CPu (CP),"PnO (CS, PRNr, TRN)","Hipp (CA1, CA2, CA3, DG)",Ect (ECT),LEnt (ENTl),"Ent (ENTl, ENTm)",DEn (EPd),"En (EPd, EPv)","IC (ICe, CUN MRN)",LDThal (LD),"CauThal (LGd, LGv, LP, MGd, MGm, MGv, PO, SPFp)","LS (LSc, LSr, LPO)",Mamm (MM),M1 (MOp),M2 (MOs),M (MOp + MOs),"SC (MPT, NOT)",MS (MS),DP (ORBl),MO (ORBm),VO (ORBvl),PAG (PAG),"PS (PAR, POST, PRE)",PRh (PERI),Pir (PIR),PrL (PL),"VLThal (RE, RH, SMT)","RSC (RSPd, RSPv)","RSC-b (RSPagl, RSPd, RSPv)","RSA (RSPd, RSPv)","VMThal (RT, VAL, VM, VPL, VPM)","SuC (SCm, SCs)",ot (SI),"SN (SNc, SNr)",S2 (SSs),"S1 (SSp-m, SSp-n, SSp-ul, SSs)","S1-b (SSp-bfd, SSp-II, SSp-tr)",SuM (SUM),TeA (TEa),Ins (VISC),"V (VISal, VISam, VISp)","V-b (VISp, VISpl, VISpm)",VTA (VTA)
Cg (ACAd + ACAv),0.70376136,0.076145675,0.027158017,0.011908716,0.011292776,0.007854838,0.036932296,0.178829686,0.013888641,0.000919893,0.000766716,0.000134585,0,0.033932201,0,2.422853077,0.090327094,0.002868598,0.056865159,0.038979994,0.022025661,0.004909092,0.002454546,0.101558871,0.225223895,0.034242678,0.014665787,0.003866948,0.079252352,0.765437523,0.422344938,0.019376845,0,0.075323033,0.124623868,0.232148635,0.427388642,0.014719202,0.013356147,0.017977678,0.311889855,0.030863339,0.420255077,0.326655742,0.420255077,0.064854369,0.510003866,0.005956581,0.029640206,0,0,0.042450567,0.01712483,0.03101567,0,0.290069834,0.126735617,0.060848129
Acb (ACB),0,0.074182913,0.065485206,0,0.003016284,0,0.00088088,0.001602693,0,0.009288887,0.004644443,0.005082427,0.00679685,0,0,0.00870458,0,0,0,0,0,0.010101481,0.006036801,0.001754305,0,0.000657235,0.059346056,0,0.002927303,0.003885731,0.003406517,0,0,0,0.016581259,0,0,0,0,0.167933731,0.00137311,0.003004214,0,0,0,0.002499197,0.000282181,0.471651366,0.050703048,0,0,0,0,0,0,0,0,0.042547745
"TC (AHN, LHA, TU, VMH)",0,0.01076834,0.108167074,0,0,0,0.013860905,0.094199954,0,0.045307503,0.040935353,0.025739456,0.052018903,0,0.027898632,0,0.011207096,0.001134074,0,0.008252983,0.004126491,0,0.003944735,0.091016874,0.006027834,0.014658001,0.158121889,0.015183733,0,0,0,0.00741704,0.072916901,0,0,0.000411915,0.616606284,0.001363902,0,0.028233529,0,0.040169555,0,0,0,0.007315967,0.195623596,0.161050616,0.003557321,0,0,0.000292455,0.028242737,0,0,0,0,0.030707973
AI (AId),0,0,0,0.311219424,0.211814808,0.330566552,0.013679637,0,0.000242972,0.068290204,0.034145102,0.013134345,0.064917905,0.133106657,0,2.97638939,0,0,0,0,0,0,0.013013837,0,0,0.0003188,0.006691958,0,0.351459138,0,0.175729569,0,0.000215921,0,0,0,0,0,0.151298459,0,0,0,0,0,0,0,0,0.117985737,0.005993673,0,0.005165037,0,0,0,0.196026649,0,0,0
"AI-b (Alv, Ald, GU)",0.089091663,1.650240251,0.072525433,0.58024648,0.436141508,0.141770339,0.025842651,0.035622298,0.019634746,0.102843414,0.071239693,0.006776559,0.063717813,0.19473299,0.000161309,2.316274131,0.003742324,0.001709625,0.230978777,0.097860979,0.05749402,0.353709122,0.18265073,0.035716256,0,0.000931144,0.034246234,0.000594597,0.63794219,0.879503914,0.758723052,1.12357E-05,7.19735E-05,0.63180169,0.295467198,0.60958437,0.088969952,0.00613633,0.05043282,0.824979427,0.325372539,0.02139562,0.013814521,0.011271462,0.013814521,0.016186673,0.007134429,0.528579144,0.033568181,0.053001969,0.040672633,0.003906078,0.005222975,0.224931131,0.079542628,0.017204262,0.014115303,0.040526778
AIP (AIP),0.039485547,0.486595031,0.041829649,0.630972509,0.355623613,0,0.014513816,0.076322997,0,0.230393967,0.115196984,0.029823325,0.391946684,0.030763284,0,1.548397199,0.009047304,0,0,0.143234495,0.089688492,0.023894083,0.046999882,0.07594784,0,0.008624039,0.00325379,3.91722E-05,0.299218592,0.253374015,0.276296303,0,0,0.097267529,0.042743006,0.068771718,0.064006936,0.012305367,0.098458215,0,0.065990552,0.014759817,0.037925598,0.025868388,0.037925598,0.006009991,0,0.239299167,0.017642018,0.097372807,0.047998529,0.003730073,0.00286893,0,0,0,0,0.024318756
"MDThal (MH, LH, PVT, IMD, MD, Amd, CM)",0.286297025,1.737705331,0.032886355,0.180755535,0.116853743,0.07881407,0.039728116,0.021692362,0,0.153651468,0.083294762,0.008068041,0.103554213,0.132900748,0.004420386,2.003571073,0.083163543,0.000505779,0.054668826,0.014121654,0.007391669,0.109351393,0.057981504,0.018816036,0,0,0.013914235,0.011249481,0.06072471,0.187940729,0.12433272,0.00145995,6.04104E-05,0.074944232,0.116034712,0.091340819,0.382567736,0.004187142,0.040224666,0.108165114,0.24953524,0.048136132,0.000920729,0.002956089,0.000920729,0.016625575,0,0.392222677,0,0.02655891,0.006639727,0.000530008,0.019704438,0.017371855,0.03284869,0.002479965,0,0.089948098
"DpMe (APN, MRN, NPC)",0,0,0.022387375,0,0,0,0.019763453,0.165677675,0,0,0.001441191,4.72443E-05,0.000321492,0.005393013,0,0.511167414,0.102044632,0,0,0,0,0,0,0.163892289,0.067199455,0.021364057,0,0,0,0,0,0.001125237,0,0,0,0,0.081817284,0,0,0,0,0.004739178,0,0,0,0.060452267,0.590901743,0.034903402,0.035621121,0,0,0,0.00063232,0,0,0,0,0.065903158
"Au (Aud, Aup, Auv)",0.004706327,0.099640363,0.009176366,0.023587358,0.016879645,0.00389416,0.002905105,0.090130302,0.668274437,0.059939702,0.058550887,0.005284582,0.035332158,0.023687381,0.000491622,0.910553466,0.010857789,0.007351583,0.196773866,0.035158755,0.019442813,0.026718188,0.013535291,0.229565832,0,0.054375048,0.001312497,6.2902E-05,0.186045806,0.250796045,0.218420926,0.00261928,1.57442E-06,0.03489875,0.012282544,0.028306493,0.144241055,0.000959955,0.042237285,0.002617508,0.022402908,0.004780806,0.000302801,0.003421109,0.000302801,0.041265533,0.19342067,0.027136373,0.006934579,0.387653033,0.19563381,0.543896293,0.000103258,0.506257237,0.08828306,0.12303363,0.037893708,0.007934825
BLP (BLA),0.297242274,3.242650737,0.014752558,0.350674217,0.276814271,0.042854762,2.41862E-05,0,0.006210621,0.041228457,0.020614228,0.028375694,0.281330685,0.381301754,0,6.248227759,0,0.050769603,0,0,0.060759106,0.483934721,0.265330338,0,0,0,0.059026794,0,0.29225642,0.760232203,0.526244312,3.20474E-06,0.004661251,0.175498766,0.288799369,0.203565962,0,0.030269377,0.019924074,0,0.652396534,0,0.005065421,0.003948709,0.005065421,0,0,1.238836465,0,0.062530607,0.028251201,0.030684145,0,0,0,0.014922202,0.006400346,0
