Time post-injection (months),MBSC Region,iM2,iM1,iAI,iPrL,iMO,iVO,iDP,cM2,cM1,cAI,cPrL,cMO,cVO,cDP,iCg,iM,iS1,iAI-b,iCl,iDEn,iPir,iAcb,iot,iCPu,iLS,iMS,cCg,cM,cS1,cAI-b,cCl,cDEn,cPir,cAcb,cot,cCPu,cLS,cMS,iRSC,iS1-b,iS2,iIns,iAIP,iEn,iHipp,iMDThal,iLDThal,iVLThal,iVMThal,iTC,iCA,iBLA,iBMA,cRSC,cS1-b,cS2,cIns,cAIP,cEn,cHipp,cMDThal,cLDThal,cVLThal,cVMThal,cTC,cCA,cBLA,cBMA,iRSC-b,iV,iAu,iTeA,iEct,iPRh,iLEnt,iBLP,iPMCo,iSC,iCauThal,iSN,iMamm,iDpMe,iVTA,iPAG,cRSC-b,cV,cAu,cTeA,cEct,cPRh,cLEnt,cBLP,cPMCo,cSC,cCauThal,cSN,cMamm,cDpMe,cVTA,cPAG,iSuM,cSuM,iV-b,iEnt,iPS,iRSA,iSuC,iIC,iPnO,cV-b,cEnt,cPS,cRSA,cSuC,cIC,cPnO
1,NTG,0.014842145,0,0.0036289,0.0066497,0,0.011567358,0.000189454,0.001134105,0.00065187,0.001712224,0,0,0.001614945,0,0.000869505,0.002045472,0,0.0007318,0,0,0.000400307,1.77164E-05,0.00060254,0.00889797,0,0,0,0.000579573,0.005422044,0,0,0,0.000202102,6.82395E-05,0,0.007173335,0,0,0.000131058,0.000475464,0.00088358,0.000368748,0,0,0,0,0,0,0.013552108,4.75162E-05,0,0.00850861,0.000584719,0.001009814,8.93678E-05,0.000163142,0.00052323,0.0035426,0.000336381,0,0,0.004778925,0,0,0.000598715,0,0.000361817,0.001600998,0,0.000146121,0,0.001537562,0.00054683,0.001381788,0,0,0,0,0,0.01351664,0,0,0.00447681,0,0,0,0,0.000566702,0,0.000976715,0.00133946,0,0,0,0,0,0,0,0,0,0,0,0,0.00321807,0,0,0,0.00281633,0,0,0.000078224,0.000163599,0,0,0,0.000107902
1,NTG,0.227463,0.01637225,0.139844055,0.044689435,0.002673399,0.01536177,0.016991275,0.026858965,0.04312215,0.0983346,0.009910347,0.004314864,0.000332471,0.0564514,0.01308955,0.007517903,0.000327849,0.002972167,0,0,0.007697926,0,0.000438091,0.001002809,8.30755E-05,0,0.000105818,0.00043654,0.000103101,0.009099966,0,0,0.000546771,0,0.003852505,0.000136691,0,0,0,5.74165E-05,0.00081539,0.000638785,0.00115815,0,0,0.001037616,0,0,0.000376415,0,0,0.022121755,0.001808278,0.00080266,0.000150745,0.00013446,0,0.004505765,0.013021825,0,0.001632692,0,0,0,0,0,0.022762875,0,0.000162372,0.001250135,0.000212886,0.001180293,0.005895255,0.001932073,0.003682802,0.26090925,0.02395728,0.002823975,0,0.04060728,0,0,0.01031702,0,0,0,0,0.00662915,0.000602678,0.00294742,0.004776475,0,0,0,0,0.000471026,0,0,0,0,0,0,0.000063161,0.005560235,0.000437061,0,0,0.00274183,0.00048335,0,0,0,0,0,0,0.000070822
1,NTG,0.26633468,0.00869148,0.028367347,0.092924027,0.009292755,0.00972719,0.010178024,0.021156635,0.000372443,0.023335404,0.000468883,0,0.000165178,0.00648851,0.003588668,0.012032641,0.000096457,0.000145606,0.00422565,0,0.014208935,7.35725E-05,0.00367172,0.00084523,0,0,0,0.001896145,0.000147339,0.008429366,0,0,0.026168345,0.000358932,0.0056821,0.000263842,0,0,0.008907067,0.00824528,0.01668502,0.00098536,0.04079351,0.00569395,0.000279142,0,0.00164716,0.01660202,0.000169612,0,0.002616155,0.009636325,0.00087645,0.000912525,0.0316391,0.041341944,0.040793791,0.009477651,0.036499675,0,0.000385008,0.0191578,0.000212737,0.000137295,0,0.00072665,0.181916357,0,0.00023985,0.000768059,0.002319095,0.000864683,0.014717033,0.015036423,0.010253361,0.12464405,0.01277638,0,0,0.01819959,0,0,0.011197995,0,0.000171165,0.001461971,0.000139733,0.000543942,0.005077938,0.004490053,0.005313161,0,0.000985905,0,0,0,0,0,0,0,0,0,0.000971331,0.002170978,0,0,0,0.002642185,0.000739058,0.000193036,0.002246615,0,0,0.000205536,3.83158E-05,7.89295E-05
1,NTG,0.04236193,0.00523812,0.04491695,0.021160795,0.00288022,0.001877475,0.01059856,0.021431337,0.002026845,0.008200333,0.008785365,0,0.003139964,0.00056645,0.006234223,0.009903869,0.010023075,0.01982512,0,0,0.025798341,0.004331813,0.00141848,0.00205715,0.000294444,0,0,0.000936,0.009568895,0.0027983,0,0,0.002733253,0.000309193,0,0.0002788,0,0,0.000489828,0.000515749,0.000308452,0,0.000586735,0,7.58103E-05,0,0,0.000476156,0.0182375,0.000428096,0.00896178,0.003461067,0.000683263,0.002933611,0,0.000193398,0.004704155,0.002168715,0.00253908,0,0.00104121,0,0,0.000804075,0.000131331,0,0.003532297,0.001428055,0.000592907,0.00068422,0.001616003,0.002797329,0.034763025,0.050260235,0.023079995,0.2850924,0.03421557,0,0.013223061,0.058945755,0,0,0.02325835,0,6.28855E-05,0.000583371,0.000822465,0.00543987,0.01336615,0.011150253,0.01069681,0,0,0,0,0.000305492,0,4.77008E-05,0,0.000220204,0.0105461,0,0,0.00027328,0.000178707,0,0,0.000832598,0.000566225,0.000539627,0,0.001797744,0,0,0,0
1,G20,0.023576945,0.00462073,0.003638075,0,0.00145037,0,0.000940955,0.005574714,0.001132929,0.004309217,0,0,0.000826307,0.006101075,0,0.003414754,0.000097058,0.004309949,0,0,0.000620064,2.18838E-05,0,0.001930245,0,0,0,0.000234331,0,0,0.00083873,0,0.004375553,0,0,0.001339638,0,0,0,0.00071544,0.00397269,0.004784735,0.00093589,0.00103467,0,0.003672824,0,0,0,0,0,0.000964485,0.000472958,0.000061891,0,0,0.003560822,0.000944845,0.000317699,0.001608025,0,0.00566215,0,0,0,0,0.000903245,0,0.00807154,0.004200707,0.000268386,0.00155699,0.000695873,0.004815375,0.007423397,0,0,0.000448751,0.003984789,0.02577421,0.0005538,0.00017586,0.000101658,0.0003594,0,0,0,0.003999512,0.006754968,0.00571972,0.004911578,0,0,0,0.01761476,0.00812464,0,0.000374646,0,0,0.006366232,0,0.000846774,0.001388308,5.49515E-05,0,0,0.000332089,0,0,0.000101644,0,0,0,0.000308749,4.70775E-05
1,G20,0.3243713,0.03687983,0.0716556,0.011516359,0.001393864,0.005630574,0.0028497,0.0969615,0.02300161,0.061716105,0.02048107,0.00387279,0.000495666,0.000362201,0.003872135,0.011902349,0.001185918,0.023356652,0,0.001850815,0.004647798,3.39768E-05,0,0.002987317,0.000080461,0,0,0.000429816,0.000060882,0.01478231,0.001665225,0,0.00022532,0.00081049,0,0.000110458,0,0,0.000237463,0.001693441,0.003769693,0.0051872,0.007967305,0.000263633,0.001514363,7.77815E-05,0.000427674,0,0.002985089,0,0,0.08841395,0,0.000244896,0.001048804,0,0.003689175,0,0,0.002346311,0,0.004627315,0,0,0,0,0.000241212,0,0,0.001528388,0,0.005715693,0.001599333,0.003906999,0.012525295,0,0.00826954,0,0.000108103,0.027359874,0,0,0.0673404,0.00023766,0.000435752,0.000055053,0.002417817,0.003787297,0.000872997,0.02098375,0.003326967,0,0,0.000641548,0.002341075,0,0,0,0,0,0,0.00295721,0.000131099,0.002095573,0,0,0,0.000495051,0,0.000381347,0,0.00316698,0,0,0,0.000216298
1,G20,0.016340108,0.00056716,0.00468216,0.000213597,0.000275725,0.003755955,0,0.010201168,0.002141625,0.02158814,0.00107588,0,0.005896575,0.000771109,0.001950343,0.004359013,0.000567342,0.00174607,0,0,0.000326733,0.000971215,0,0.000455921,0,0,0.0016014,8.93985E-05,0,0,0,0,1.56519E-05,0,0,0.000248176,0,0,0.00161134,0.000960839,0.001098983,0.001587707,0,0.004888239,5.08355E-05,0,0,0,0.000087379,0,0,0.000540177,0.000098989,0.000393404,0,0,0.000132654,0.000206558,0,0,0,0.00258942,0,0,0,0,0.000112274,0,0,0.000657579,0.000809654,0.00222049,0,0.001489148,0.007241169,0.05836445,0.005866165,0,0.000320542,0.01602642,0,0,0.004501125,0,0,0.000319466,0,0,0,0,0.002574759,0,0.00041499,0,0,0.000332864,0,0,0,0,0,0,0.000986221,0.000709329,0.000054409,0,0.00007967,0.0048164,0,0.00663885,0.000379381,0.00182578,0,0.0029387,0.000710624,0.003205353
1,G20,0.13591682,0.013436465,0.0405003,0.04334175,0,0.003331625,0.017234295,0.041776105,0.002674583,0.013404235,0.019049865,0.001784228,0.002478046,0.003429474,0.014074365,0.004203743,0.000780463,0.00745672,0,0,0.001950096,4.44745E-05,0,0.023136825,0,0,0.000404853,0.001128404,7.03255E-05,0.00741797,0,0,0.000607051,0.000530098,0,0.022164778,0.000215724,0.001311345,0.000450239,0.002673923,0.007676549,0.0176447,0.00472612,0,0,0,0,0,0.004813358,0,0,0.16204037,0,0,0.000073549,0,0.000383879,0.0010571,0,0,0,0.0183295,0,0,0,0,0,0,0.000058656,0.002245655,0.001594368,0.012060913,0.025273433,0.005536593,0.008724685,0.029675995,0.010193705,0,0.0007005,0.06157524,0.000240535,0,0.02741233,0,0,0,0,0.00492223,0,0,0.00168068,0,0,0.000125543,0,0.000422998,0.000270949,0,0,0,0.0070998,0,0.000972433,0.001220524,0,0.002644105,0.000058786,0.000416867,0.000889582,0,0,0.000291465,0,0,0.000097128,0
1,G20,0.058893705,0.002256429,0.010915118,0.024721195,0.013670679,0.023185106,0.002530561,0.015195965,0.000796775,0.012147027,0.00645735,0.000991066,0.003964989,0.00858691,0.01113722,0.004181353,0.000549011,0.003507195,0.00211461,0,0.008676672,0.000144529,0,0.001538187,0,0,0,6.76058E-05,0,0.000359952,0,0,0.000882073,7.10728E-05,0.000464335,0.000271164,0,0,0,0.00021741,0.001408013,0.00069933,0.028920325,0.02847795,0,0,0,0,0.008523159,0,0.00101362,0.00288122,0.001295755,0,0,0.00212461,0,0.000780785,0,0,0,0.06320255,0,8.56555E-05,0,0,0.008563419,0.000390142,0,0.000973012,0.000109048,0.010854453,0.010532395,0.001362493,0.0093008,0.22152855,0.041936775,0.00060369,0.001101663,0.018252325,0,0.004193115,0,0,0,0.000052667,0,0.002203593,0,0.00052046,0.001833067,0,0,0,0.003810952,0,0,0.000421284,0,0,0,0.00427415,0.00337696,0.003741315,0.000424128,0,0.000053503,0.00145921,0.000276828,0.000117184,0,0,0.00069235,0,0,0.000074849
1,G20,0.103369825,0.034662366,0.06101628,0.00416784,0.00130437,0.000341287,0.006338767,0.151782845,0.03499881,0.009160145,0.000276152,0.000367841,0.002313584,0.00648165,0.000800974,0.006212933,0,0,0,0,0.000334634,0,0,0.000427872,0,0,0,0.005822585,7.29257E-05,0,0,0,1.49395E-05,0.001393115,0,0.000104082,0,0,0.007040218,0.003211792,0.002356605,0.002677675,0.00409353,0,0.000257528,0,0.001797345,0,0,0,0.001188613,0.001080398,0,0.00054058,0.025171765,0.002457645,0.002936629,0.001481095,0.000356115,0,0,0.004575515,0,0.001946509,0.000262567,0.001536145,0.000374982,0.000123709,0.002777088,0.000754814,0.00010631,0,9.54338E-05,0.003032,0.000336311,0.08161045,0.005533537,0,0,0.006140911,0,0,0.00060108,0.0014657,0,0.000100048,0,0.000643353,0.000969825,0.00041998,0.002098891,0,0,0,0,0,0,0,0,0,0,0,0,0.000404698,0.00054398,0,0,0.0008122,5.96165E-05,0.000178957,0,0.000238832,0,0,0.000064146,0
